method,seed,n_double_train,split_file,condition,gene1,gene2,n_cells,top_k,pearson,wpearson,mse,deg_pearson,deg_wpearson,pearson_delta,wpearson_delta,deg_pearson_delta,deg_wpearson_delta,mse_delta,r2,wr2,r2_deg,wr2_deg,wmse,direction_acc,wdirection_acc,deg_direction_acc,deg_wdirection_acc,deg_recall,deg_recall_std
Empirical additive,0,,norman_full_seed0_by_perturbation.json,FOSB+IKZF3,FOSB,IKZF3,204,20,0.9897492527961731,0.9897492527961731,0.0035460591316223145,0.9789704923926704,0.9789704923926704,0.9507320523262024,0.9507320523262024,0.9798428393382501,0.9798428393382502,0.0035460591316223145,0.9794772267341614,0.9794772267341614,0.9463148780950972,0.9463148780950972,0.05351665988564491,0.7329079307134649,0.7329079307134648,1.0,1.0,0.6,0.0
Empirical additive,0,,norman_full_seed0_by_perturbation.json,CEBPE+PTPN12,CEBPE,PTPN12,317,20,0.9790642261505127,0.9790642261505127,0.006536954082548618,0.8752005381941886,0.8752005381941885,0.8783255815505981,0.8783255815505981,0.9397289322099642,0.9397289322099642,0.006536953616887331,0.9585345983505249,0.9585345983505249,0.7530196150824009,0.7530196150824009,0.08507584035396576,0.7415832575000767,0.7415832575000767,1.0,1.0,0.65,0.0
Empirical additive,0,,norman_full_seed0_by_perturbation.json,TBX2+TBX3,TBX2,TBX3,969,20,0.9959633946418762,0.9959633946418762,0.0012993168784305453,0.9879842274469333,0.9879842274469333,0.9855788350105286,0.9855788350105286,0.9929111567126274,0.9929111567126274,0.0012993168784305453,0.9918991923332214,0.9918991923332214,0.9550207925205156,0.9550207925205156,0.04385704547166824,0.7497781721317678,0.7497781721317678,1.0,1.0,0.9,0.0
Empirical additive,0,,norman_full_seed0_by_perturbation.json,KLF1+TGFBR2,KLF1,TGFBR2,263,20,0.9987496733665466,0.9987496733665466,0.0005718094762414694,0.9968576233359954,0.9968576233359953,0.9705799221992493,0.9705799221992493,0.9898564144912524,0.9898564144912524,0.0005718094180338085,0.9969175457954407,0.9969175457954407,0.987054640948614,0.9870546409486138,0.011094391345977783,0.7089755212991027,0.7089755212991027,1.0,1.0,0.8,0.0
Empirical additive,0,,norman_full_seed0_by_perturbation.json,CEBPB+JUN,CEBPB,JUN,52,20,0.9899020791053772,0.9899020791053772,0.003014839254319668,0.9903656789141213,0.9903656789141213,0.9362897276878357,0.9362897276878357,0.9842467834896197,0.9842467834896197,0.003014839021489024,0.9798659682273865,0.9798659682273865,0.9774471827305168,0.9774471827305168,0.02598622441291809,0.7823315118325835,0.7823315118325836,1.0,1.0,0.65,0.0
Empirical additive,0,,norman_full_seed0_by_perturbation.json,DUSP9+PRTG,DUSP9,PRTG,238,20,0.9928457140922546,0.9928457140922546,0.0025726803578436375,0.989277492553699,0.989277492553699,0.9801637530326843,0.9801637530326843,0.9898633144835095,0.9898633144835095,0.0025726803578436375,0.9843066930770874,0.9843066930770874,0.8821134841933359,0.8821134841933359,0.1008424311876297,0.7618181818112563,0.7618181818112563,1.0,1.0,0.7,0.0
Empirical additive,0,,norman_full_seed0_by_perturbation.json,DUSP9+ETS2,DUSP9,ETS2,698,20,0.9928387403488159,0.9928387403488159,0.002364418003708124,0.9679424251844913,0.9679424251844913,0.8720728158950806,0.8720728158950806,0.9516969300169694,0.9516969300169694,0.002364418003708124,0.9855611324310303,0.9855611324310303,0.9145165430218833,0.9145165430218833,0.034038059413433075,0.6987410071879611,0.6987410071879611,1.0,1.0,0.65,0.0
Empirical additive,0,,norman_full_seed0_by_perturbation.json,CEBPE+CNN1,CEBPE,CNN1,194,20,0.9802094101905823,0.9802094101905823,0.006134856957942247,0.8903357819256816,0.8903357819256816,0.8852112293243408,0.8852112293243408,0.9229768543423607,0.9229768543423607,0.006134856957942247,0.9608036875724792,0.9608036875724792,0.7513619408632963,0.7513619408632962,0.07147306203842163,0.738138686124652,0.7381386861246519,0.95,0.95,0.7,0.0
Empirical additive,0,,norman_full_seed0_by_perturbation.json,MAP2K3+MAP2K6,MAP2K3,MAP2K6,458,20,0.9980930089950562,0.9980930089950562,0.0010028723627328873,0.993682786154462,0.9936827861544619,0.9536392688751221,0.9536392688751221,0.9760019610247359,0.9760019610247359,0.0010028723627328873,0.9945085048675537,0.9945085048675537,0.9412213064164279,0.9412213064164279,0.014790952205657959,0.7126126126061928,0.7126126126061929,1.0,1.0,0.8,0.0
Empirical additive,0,,norman_full_seed0_by_perturbation.json,ETS2+MAPK1,ETS2,MAPK1,432,20,0.9940875172615051,0.9940875172615051,0.002069222740828991,0.9751211632832768,0.9751211632832768,0.9577246308326721,0.9577246308326721,0.9781192087786353,0.9781192087786353,0.002069222740828991,0.9875441193580627,0.9875441193580627,0.885812701495899,0.885812701495899,0.03979221731424332,0.747302158266661,0.747302158266661,1.0,1.0,0.85,0.0
