condition,seed,split_seed,init_seed,lambda_single,sampling,n_cells,top_k,pearson,wpearson,mse,deg_pearson,deg_wpearson,pearson_delta,wpearson_delta,deg_pearson_delta,deg_wpearson_delta,mse_delta,r2,wr2,r2_deg,wr2_deg,wmse,direction_acc,wdirection_acc,deg_direction_acc,deg_wdirection_acc,deg_recall,deg_recall_std
FOSB+IKZF3,0,0,0,0.0,cell,204,20,0.9920285940170288,0.9920285940170288,0.0027687340043485165,0.9840292797766994,0.9840292797766995,0.9551528096199036,0.9551528096199036,0.9848377244575215,0.9848377244575215,0.0027687340043485165,0.9839760065078735,0.9839760065078735,0.9498546776706815,0.9498546776706815,0.0445401594042778,0.6499544211426623,0.6499544211426623,1.0,1.0,0.75,0.0
CEBPE+PTPN12,0,0,0,0.0,cell,317,20,0.9971680045127869,0.9971680045127869,0.0008967756875790656,0.9907641272533273,0.9907641272533272,0.8993460536003113,0.8993460536003113,0.9649967064602631,0.964996706460263,0.0008967756875790656,0.9943115711212158,0.9943115711212158,0.9782136577299689,0.978213657729969,0.010106604546308517,0.6433121019049745,0.6433121019049745,1.0,1.0,0.7,0.0
TBX2+TBX3,0,0,0,0.0,cell,969,20,0.970306932926178,0.970306932926178,0.009680512361228466,0.8950119020478833,0.8950119020478833,0.6966744065284729,0.6966744065284729,0.7792498358345907,0.7792498358345906,0.009680512361228466,0.9396452307701111,0.9396452307701111,0.7682445441848063,0.7682445441848063,0.21405725181102753,0.6104702750611316,0.6104702750611316,0.85,0.85,0.6,0.0
KLF1+TGFBR2,0,0,0,0.0,cell,263,20,0.9985178112983704,0.9985178112983704,0.0005683137569576502,0.9972236500959833,0.9972236500959832,0.9662261605262756,0.9662261605262756,0.9897090506796207,0.9897090506796208,0.0005683137569576502,0.9969364404678345,0.9969364404678345,0.9942732006411538,0.9942732006411537,0.003655550302937627,0.5992747053436149,0.5992747053436149,1.0,1.0,0.85,0.0
CEBPB+JUN,0,0,0,0.0,cell,52,20,0.9817922711372375,0.9817922711372375,0.00562576949596405,0.9512070780579923,0.9512070780579923,0.8711488842964172,0.8711488842964172,0.9376901875673582,0.9376901875673582,0.00562576949596405,0.962429404258728,0.962429404258728,0.894983688214643,0.894983688214643,0.06949765235185623,0.6092896174807898,0.6092896174807898,1.0,1.0,0.7,0.0
DUSP9+PRTG,0,0,0,0.0,cell,238,20,0.995619535446167,0.995619535446167,0.0014775338349863887,0.9953383576676103,0.9953383576676103,0.9739132523536682,0.9739132523536682,0.9934220720775379,0.9934220720775379,0.0014775338349863887,0.9909870624542236,0.9909870624542236,0.9789363016861232,0.9789363016861232,0.01538378931581974,0.6418181818123472,0.6418181818123473,1.0,1.0,0.7,0.0
DUSP9+ETS2,0,0,0,0.0,cell,698,20,0.9954041838645935,0.9954041838645935,0.0015230055432766676,0.9835864179771715,0.9835864179771716,0.9008822441101074,0.9008822441101074,0.9666516225312367,0.9666516225312367,0.0015230055432766676,0.9906994104385376,0.9906994104385376,0.9461731065352779,0.9461731065352779,0.03053116798400879,0.6097122302103444,0.6097122302103444,1.0,1.0,0.7,0.0
CEBPE+CNN1,0,0,0,0.0,cell,194,20,0.9891095161437988,0.9891095161437988,0.0034100585617125034,0.9711271456714704,0.9711271456714704,0.8195494413375854,0.8195494413375854,0.9317090682690855,0.9317090682690855,0.0034100585617125034,0.9782127141952515,0.9782127141952515,0.9319464422975849,0.9319464422975849,0.039514414966106415,0.6113138686075611,0.6113138686075611,0.95,0.95,0.35,0.0
MAP2K3+MAP2K6,0,0,0,0.0,cell,458,20,0.9968656301498413,0.9968656301498413,0.0012791533954441547,0.9915479332184117,0.9915479332184117,0.8528521656990051,0.8528521656990051,0.941679550830642,0.941679550830642,0.0012791533954441547,0.9929956197738647,0.9929956197738647,0.970669969464308,0.970669969464308,0.009988633915781975,0.6054054053999514,0.6054054053999514,1.0,1.0,0.6,0.0
ETS2+MAPK1,0,0,0,0.0,cell,432,20,0.9895375370979309,0.9895375370979309,0.0037116713356226683,0.9584042860646393,0.9584042860646393,0.8892248272895813,0.8892248272895813,0.9637642362110523,0.9637642362110523,0.0037116713356226683,0.9776573181152344,0.9776573181152344,0.859759919075076,0.8597599190750761,0.05614759027957916,0.6258992805699111,0.6258992805699111,1.0,1.0,0.85,0.0
CNN1+ETS2,0,0,0,0.0,cell,785,20,0.9943972826004028,0.9943972826004028,0.0017774628940969706,0.9490058777956871,0.9490058777956871,0.8940377831459045,0.8940377831459045,0.9438369559584153,0.9438369559584153,0.0017774627776816487,0.9888256192207336,0.9888256192207336,0.8747390702454848,0.8747390702454848,0.025434382259845734,0.6169828364894582,0.6169828364894582,1.0,1.0,0.7,0.0
IRF1+SET,0,0,0,0.0,cell,367,20,0.9609216451644897,0.9609216451644897,0.012587879784405231,0.8944098881551219,0.8944098881551218,0.5372190475463867,0.5372190475463867,0.8395207257859146,0.8395207257859146,0.012587879784405231,0.9221401810646057,0.9221401810646057,0.5577194370567622,0.5577194370567622,0.21408379077911377,0.579810181185679,0.579810181185679,0.9,0.9,0.3,0.0
ELMSAN1+LHX1,0,0,0,0.0,cell,547,20,0.9840917587280273,0.9840917587280273,0.0054093715734779835,0.729014077916234,0.729014077916234,0.43268465995788574,0.43268465995788574,0.37409919104887557,0.37409919104887557,0.0054093715734779835,0.9670313000679016,0.9670313000679016,0.20966920659188693,0.20966920659188693,0.25925859808921814,0.5537777777728553,0.5537777777728553,0.85,0.85,0.45,0.0
FOSB+OSR2,0,0,0,0.0,cell,324,20,0.9898692965507507,0.9898692965507507,0.0035606008023023605,0.8071179384112385,0.8071179384112386,0.8883921504020691,0.8883921504020691,0.9516522919642832,0.9516522919642832,0.0035606008023023605,0.9795435667037964,0.9795435667037964,0.5194902679865998,0.5194902679865998,0.06187156215310097,0.6204444444389294,0.6204444444389294,1.0,1.0,0.75,0.0
PTPN12+ZBTB25,0,0,0,0.0,cell,257,20,0.9979516863822937,0.9979516863822937,0.0006681328522972763,0.9957975750889991,0.9957975750889991,0.9766318798065186,0.9766318798065186,0.994580033385572,0.994580033385572,0.0006681328522972763,0.9958949089050293,0.9958949089050293,0.9911726196221659,0.9911726196221659,0.005502606742084026,0.6557971014433353,0.6557971014433353,1.0,1.0,0.8,0.0
CDKN1B+CDKN1C,0,0,0,0.0,cell,79,20,0.9818251729011536,0.9818251729011536,0.005565152037888765,0.8394188539320202,0.8394188539320203,0.6635985374450684,0.6635985374450684,0.9282125327653822,0.9282125327653823,0.005565152037888765,0.9617000222206116,0.9617000222206116,0.6231732547757866,0.6231732547757866,0.09883088618516922,0.5689497716843018,0.5689497716843018,0.95,0.95,0.6,0.0
CEBPB+FOSB,0,0,0,0.0,cell,85,20,0.9710032343864441,0.9710032343864441,0.009249938651919365,0.7685638290702712,0.7685638290702712,0.91520094871521,0.91520094871521,0.9551120533907289,0.9551120533907289,0.009249938651919365,0.9420318603515625,0.9420318603515625,0.26515308115503755,0.26515308115503755,0.136700838804245,0.6356164383503597,0.6356164383503597,1.0,1.0,0.7,0.0
ELMSAN1+MAP2K3,0,0,0,0.0,cell,484,20,0.9963766932487488,0.9963766932487488,0.0013889949768781662,0.9807500648093566,0.9807500648093566,0.8335410952568054,0.8335410952568054,0.900929283552839,0.900929283552839,0.0013889949768781662,0.9927335977554321,0.9927335977554321,0.9315451707820877,0.9315451707820877,0.01888682320713997,0.602690582954236,0.602690582954236,1.0,1.0,0.6,0.0
HOXC13+ZC3HAV1,0,0,0,0.0,cell,543,20,0.9899405837059021,0.9899405837059021,0.00361800380051136,0.9658611683409616,0.9658611683409616,0.40568670630455017,0.40568670630455017,0.8418035407187582,0.8418035407187582,0.00361800380051136,0.9761939644813538,0.9761939644813538,0.9282180626821982,0.9282180626821982,0.055633533746004105,0.5058611361541402,0.5058611361541402,0.9,0.9,0.25,0.0
BPGM+SAMD1,0,0,0,0.0,cell,240,20,0.9938979744911194,0.9938979744911194,0.0019921211060136557,0.9868504191965954,0.9868504191965954,0.91278076171875,0.91278076171875,0.9617329549389153,0.9617329549389153,0.0019921211060136557,0.9877356886863708,0.9877356886863708,0.9709933467333547,0.9709933467333547,0.036853983998298645,0.5987318840525477,0.5987318840525477,1.0,1.0,0.75,0.0
MAP2K6+SPI1,0,0,0,0.0,cell,242,20,0.9635500311851501,0.9635500311851501,0.011673014611005783,0.933069750199999,0.933069750199999,0.6926166415214539,0.6926166415214539,0.8292083940982998,0.8292083940982998,0.011673014611005783,0.928072988986969,0.928072988986969,0.8631860497893556,0.8631860497893556,0.1128000020980835,0.5896739130381371,0.5896739130381371,0.9,0.9,0.35,0.0
PTPN12+SNAI1,0,0,0,0.0,cell,244,20,0.9946464896202087,0.9946464896202087,0.001746201771311462,0.9942721062762897,0.9942721062762897,0.8685208559036255,0.8685208559036255,0.9608440766619802,0.9608440766619802,0.001746201771311462,0.9886906147003174,0.9886906147003174,0.986275071453773,0.986275071453773,0.01330056693404913,0.6130790190680011,0.6130790190680011,1.0,1.0,0.55,0.0
CBFA2T3+PRDM1,0,0,0,0.0,cell,109,20,0.9615508317947388,0.9615508317947388,0.011915757320821285,0.7937681030832597,0.7937681030832597,0.74541836977005,0.74541836977005,0.9577747337033825,0.9577747337033825,0.01191575638949871,0.9227347373962402,0.9227347373962402,0.6116925823992303,0.6116925823992303,0.23061974346637726,0.5815861440238689,0.5815861440238689,1.0,1.0,0.6,0.0
CBFA2T3+FEV,0,0,0,0.0,cell,153,20,0.9843754768371582,0.9843754768371582,0.005345219746232033,0.9471203790172709,0.9471203790172709,0.8758542537689209,0.8758542537689209,0.9332097430841803,0.9332097430841801,0.005345219746232033,0.9685025811195374,0.9685025811195374,0.8791563194705513,0.8791563194705513,0.07478593289852142,0.6189189189133432,0.6189189189133432,1.0,1.0,0.65,0.0
ETS2+IKZF3,0,0,0,0.0,cell,388,20,0.9965119361877441,0.9965119361877441,0.001263716141693294,0.9939483063837661,0.993948306383766,0.9697251915931702,0.9697251915931702,0.9929908934197618,0.9929908934197618,0.001263716141693294,0.9929423332214355,0.9929423332214355,0.9853301209137814,0.9853301209137814,0.015722177922725677,0.647325475968746,0.647325475968746,1.0,1.0,0.7,0.0
