split_seed,condition,pearson_delta_sped_minus_additive,deg_pearson_delta_sped_minus_additive,deg_recall_sped_minus_additive,wmse_sped_minus_additive
0,FOSB+IKZF3,0.008968234,0.003789961338043213,0.050000000000000044,-0.0016408861
0,CEBPE+PTPN12,0.032417774,0.027607262134552002,0.09999999999999998,-0.07455509
0,TBX2+TBX3,-0.013555825,-0.0001596212387084961,-0.050000000000000044,-0.030050613
0,KLF1+TGFBR2,-0.0031051636,-2.1219253540039062e-05,0.0,-0.00020850822
0,CEBPB+JUN,-0.027694046,-0.013993978500366211,0.0,0.032802843
0,DUSP9+PRTG,-0.002691567,0.002849102020263672,0.0,-0.06766453
0,DUSP9+ETS2,0.043750823,0.017066001892089844,0.04999999999999993,-0.008535726
0,CEBPE+CNN1,-0.041888773,0.007410168647766113,-0.19999999999999996,-0.030335024
0,MAP2K3+MAP2K6,-0.051618338,-0.04462999105453491,-0.050000000000000044,-0.004408326
0,ETS2+MAPK1,-0.05167377,-0.013054907321929932,-0.04999999999999993,0.0067973584
0,CNN1+ETS2,-0.01975751,-0.02651679515838623,0.04999999999999993,0.013651114
0,IRF1+SET,-0.07856929,-0.04161942005157471,-0.050000000000000044,0.027671149
0,ELMSAN1+LHX1,-0.12572783,-0.04769390821456909,-0.20000000000000007,0.05596595
0,FOSB+OSR2,-0.041494608,-0.020977497100830078,0.0,0.025981233
0,PTPN12+ZBTB25,0.017912805,0.011945903301239014,-0.04999999999999993,-0.011678801
0,CDKN1B+CDKN1C,-0.078867674,-0.03280162811279297,-0.09999999999999998,-0.015061334
0,CEBPB+FOSB,-0.0051119924,0.0035355687141418457,0.0,0.07660995
0,ELMSAN1+MAP2K3,-0.022793174,0.02332073450088501,-0.19999999999999996,0.0012180526
0,HOXC13+ZC3HAV1,-0.060554445,-0.006060659885406494,0.04999999999999993,-0.0009961668
0,BPGM+SAMD1,-0.020997465,-0.01757127046585083,-0.050000000000000044,-0.021453945
0,MAP2K6+SPI1,-0.080447435,-0.05660921335220337,-0.04999999999999993,0.042714402
0,PTPN12+SNAI1,-0.013114512,0.004702270030975342,-0.04999999999999993,0.001632506
0,CBFA2T3+PRDM1,-0.005203843,0.0050675272941589355,-0.04999999999999993,0.0001192987
0,CBFA2T3+FEV,0.044344842,0.04333913326263428,0.09999999999999998,-0.047252253
0,ETS2+IKZF3,0.020424306,0.01669853925704956,-0.04999999999999993,-0.029453728
