method,lambda_single,sampling,metric,n_runs,mean,sd,ci95_low,ci95_high,uncertainty_source
Empirical additive,,,pearson,1,0.991778552532196,,,,split
Empirical additive,,,wpearson,1,0.9938058129398364,,,,split
Empirical additive,,,mse,1,0.0027055153623223,,,,split
Empirical additive,,,deg_pearson,1,0.9664176622949172,,,,split
Empirical additive,,,deg_wpearson,1,0.973832609078054,,,,split
Empirical additive,,,pearson_delta,1,0.9289007782936096,,,,split
Empirical additive,,,wpearson_delta,1,0.933371587391819,,,,split
Empirical additive,,,deg_pearson_delta,1,0.9647509936771036,,,,split
Empirical additive,,,deg_wpearson_delta,1,0.9679686965558956,,,,split
Empirical additive,,,mse_delta,1,0.0027055151294916,,,,split
Empirical additive,,,r2,1,0.983256220817566,,,,split
Empirical additive,,,wr2,1,0.9873182896895822,,,,split
Empirical additive,,,r2_deg,1,0.9119606101494208,,,,split
Empirical additive,,,wr2_deg,1,0.9282810885507128,,,,split
Empirical additive,,,wmse,1,0.0413635671138763,,,,split
Empirical additive,,,direction_acc,1,0.7398615416524299,,,,split
Empirical additive,,,wdirection_acc,1,0.7387625306425719,,,,split
Empirical additive,,,deg_direction_acc,1,0.996,,,,split
Empirical additive,,,deg_wdirection_acc,1,0.9957276291512916,,,,split
Empirical additive,,,deg_recall,1,0.7240000000000001,,,,split
Empirical additive,,,deg_recall_std,1,0.1011137972781163,,,,split
SPED (Ldouble only),0.0,cell,pearson,1,0.9866903424263,,,,split
SPED (Ldouble only),0.0,cell,wpearson,1,0.987679304032693,,,,split
SPED (Ldouble only),0.0,cell,mse,1,0.0043481239117681,,,,split
SPED (Ldouble only),0.0,cell,deg_pearson,1,0.9318883406203304,,,,split
SPED (Ldouble only),0.0,cell,deg_wpearson,1,0.9359247571544644,,,,split
SPED (Ldouble only),0.0,cell,pearson_delta,1,0.8174751400947571,,,,split
SPED (Ldouble only),0.0,cell,wpearson_delta,1,0.7918967119215324,,,,split
SPED (Ldouble only),0.0,cell,deg_pearson_delta,1,0.9127686983758478,,,,split
SPED (Ldouble only),0.0,cell,deg_wpearson_delta,1,0.8849335835464613,,,,split
SPED (Ldouble only),0.0,cell,mse_delta,1,0.0043481239117681,,,,split
SPED (Ldouble only),0.0,cell,r2,1,0.9729049801826476,,,,split
SPED (Ldouble only),0.0,cell,wr2,1,0.9747938850337838,,,,split
SPED (Ldouble only),0.0,cell,r2_deg,1,0.818822766766307,,,,split
SPED (Ldouble only),0.0,cell,wr2_deg,1,0.8266079265398882,,,,split
SPED (Ldouble only),0.0,cell,wmse,1,0.0741483271121978,,,,split
SPED (Ldouble only),0.0,cell,direction_acc,1,0.6078278285228491,,,,split
SPED (Ldouble only),0.0,cell,wdirection_acc,1,0.6044913262703301,,,,split
SPED (Ldouble only),0.0,cell,deg_direction_acc,1,0.972,,,,split
SPED (Ldouble only),0.0,cell,deg_wdirection_acc,1,0.9589195110701108,,,,split
SPED (Ldouble only),0.0,cell,deg_recall,1,0.6219999999999999,,,,split
SPED (Ldouble only),0.0,cell,deg_recall_std,1,0.1619135571840727,,,,split
SPED (Lsingle + Ldouble),1.0,cell,pearson,1,0.9914515614509584,,,,split
SPED (Lsingle + Ldouble),1.0,cell,wpearson,1,0.9936552425825838,,,,split
SPED (Lsingle + Ldouble),1.0,cell,mse,1,0.0027997356373816,,,,split
SPED (Lsingle + Ldouble),1.0,cell,deg_pearson,1,0.9627134720386472,,,,split
SPED (Lsingle + Ldouble),1.0,cell,deg_wpearson,1,0.970855404018598,,,,split
SPED (Lsingle + Ldouble),1.0,cell,pearson_delta,1,0.90581876039505,,,,split
SPED (Lsingle + Ldouble),1.0,cell,wpearson_delta,1,0.9087427333409716,,,,split
SPED (Lsingle + Ldouble),1.0,cell,deg_pearson_delta,1,0.9585758895832036,,,,split
SPED (Lsingle + Ldouble),1.0,cell,deg_wpearson_delta,1,0.960274698314592,,,,split
SPED (Lsingle + Ldouble),1.0,cell,mse_delta,1,0.0027997356373816,,,,split
SPED (Lsingle + Ldouble),1.0,cell,r2,1,0.9826517701148988,,,,split
SPED (Lsingle + Ldouble),1.0,cell,wr2,1,0.987057573619089,,,,split
SPED (Lsingle + Ldouble),1.0,cell,r2_deg,1,0.8976771594381233,,,,split
SPED (Lsingle + Ldouble),1.0,cell,wr2_deg,1,0.9192974076500824,,,,split
SPED (Lsingle + Ldouble),1.0,cell,wmse,1,0.0390383228659629,,,,split
SPED (Lsingle + Ldouble),1.0,cell,direction_acc,1,0.6283746317626185,,,,split
SPED (Lsingle + Ldouble),1.0,cell,wdirection_acc,1,0.6273251529558396,,,,split
SPED (Lsingle + Ldouble),1.0,cell,deg_direction_acc,1,0.994,,,,split
SPED (Lsingle + Ldouble),1.0,cell,deg_wdirection_acc,1,0.9943323339483396,,,,split
SPED (Lsingle + Ldouble),1.0,cell,deg_recall,1,0.6920000000000001,,,,split
SPED (Lsingle + Ldouble),1.0,cell,deg_recall_std,1,0.0966229786334493,,,,split
